idForum,idDiscussion,subject,message,parent
5721,23896,las plazas para el curso de Cuestionarios rapidamente se han agotado,"<p>las plazas para el curso de Cuestionarios</p>
<p>rapidamente se han agotado. POdeis ampliar por favor? ya que visto como va la cosa, nos va ser de mucha uitilidad asi como necesarios</p>",0
5721,23897,las plazas para el curso de Cuestionarios rapidamente se han agotado,"<p>las plazas para el curso de Cuestionarios</p>
<p>rapidamente se han agotado. POdeis ampliar por favor? ya que visto como va la cosa, nos va ser de mucha uitilidad asi como necesarios</p>",0
5721,23935,Cómo eliminar un matriculado manual en egela,"<p>Hola,</p>
<p>Por error matriculé a un usuario de egela como docente pero me confundí de correo y ahora lo quiero eliminar. Sólo he conseguido cambiar en la edicíon su rol como al de ""estudiante manual"" pero no encuentro la manera de ""echarle"" del curso de egela. No se ha conectado nunca pero no le corresponde estar en mi curso y no sé cómo eliminarle de participantes.</p>
<p>Gracias</p>
<p>Oihana</p>",0
5721,23942,Acceso a grabación,<p>¿Se puede acceder a la grabación de la sesión online una vez matriculado al curso pero no pudiendo acceder a ningún grupo por limitación de plazas?</p>,0
5721,23949,Tutorías en Blackboard,"<p>Si abrimos la misma tutoría a la misma hora para dos grupos en dos eGelas, ¿podemos tener abierta solo un eGela o tenemos que abrir las dos eGelas en dos pestañas diferentes porque cada grupo accede a la tutoría en su propia eGela?</p>
<p>Gracias.</p>",0
5721,23966,"APUNTADO A CURSO A LAS 4, PERO NO ENCUENTRO FORMA DE ACCESO","<p>Hace un par de días me apunté al curso que se imparte hoy martes a las 4 sobre cuestionarios, pero no encuentro la forma de poder acceder al mismo</p>",0
5721,23977,Tipo de pregunta: Elige la palabra perdida,"<p>Suelo utilizar los cuestionarios habitualmente con el alumnado incluyendo todo tipo de preguntas, pero las que arriba os indico no consigo saber cómo funcionan.</p>
<p>Me podrías indicar y poner algun ejemplo?</p>",0
5721,24014,GISMO,"<p>Aupa,</p>
<p>Egelan GISMO aplikazioa txertatzen saiatu naiz, noizbait beste Moodle batean erabili nuen eta, baina ez dut lortu. Ikasleen jardueren txostena lortzeko beste modurik badugu? Baliabideak erabiltzen ari diren aztertzeko, Edo galdetegiak egiten ari diren, bideoak ikusten...</p>
<p> </p>
<p>Eskerrikasko,</p>
<p> </p>
<p>Maialen</p>",0
5721,24033,eGela taldeak eta taldetan ez dauden ikasleak,"<p>Kaixo,</p>
<p>eGelan zeregin bat taldeka entregatzeko jartzen badut, baina taldetan ez dauden ikasleak baldin baditut eta taldeka ez dauden ikasle horietako batek entrega egiten badu, taldetan ez dauden ikasle guztiek ikusten dute.</p>
<p>Nola ekidin daiteke hori? Taldeka ez dauden ikasle bakoitza talde batean sartu behar al dut? Ez zait zentzuzkoa iruditzen. Arrazoizkoagoa ematen du pentsatzea ez badaude taldetan sartuta bakoitza talde bat dela automatikoki, ezta?</p>
<p>Bestalde, egin eta gero, ba al dago hori konpontzeko modurik?</p>
<p>Beno, zuen erantzunaren zain, eskerrik asko!</p>
<p>Edurne.</p>",0
5721,24122,Bideoa ikusi powerpointean/Ver video en ppt,"<p>(en castellano, debajo)</p>
<p>Kaixo.</p>
<p>Posible da Collaboraten bidez powerpoint bat partekatzea ikasleekin eta hauek bideoa ikustea eta entzutea?</p>
<p> </p>
<p>Es posible compartir con el alumnado un video incrutstado en una presentación de powerpoint y que ellas y ellos vean y escuchen el video?</p>",0
